title,text,eval
ANDREW BREITBART Warned Us The Occupy Wall Street Movement Would Morph Into An Orchestrated Race War [VIDEO]," No One Listened We had many chances to expose this freak show when it started, but Americans allowed the Left to bully us into submission for fear of being labeled a  racist It s important to understand this  movement  comprised of domestic terrorists and their motives. Please read this story to the end.Here is Andrew Breitbart s warning to Americans just before he died:Why is Breitbart News so on top of the Black Lives Matter movement?Easy. We saw it coming.Not everyone liked what we saw either. In August 2012, the magazine American Conservative did an article on the film Occupy Unmasked. That film was directed by Breitbart News Executive Chairman Stephen K. Bannon and featured people like Andrew Breitbart, Brandon Darby, and myself exposing the Occupy Wall Street movement for what it was   a socialist, Obama-inspired activist movement. We pointed out that Occupy was the latest incarnation of the far-left, anti-American protest movements that dates back to the 1960s  Students for a Democratic Society and Black Panthers. We also said that the next step in the evolution of Occupy Wall Street would be race-based.Breitbart News has given #BlackLivesMatter more detailed, deep, and honest coverage than any other media outlet on the planet in 2015, and for good reason. From covering every major protest they did to exposing the cop killer that the group worships to revealing the secret funder behind the movement to Milo Yiannopoulos s complete shredding of activist Shaun King, Breitbart News has been the go-to source for original reporting on Black Lives Matter.American Conservative took the film to task for using the term  race war  to describe what we saw as the next phase of the Occupy movement. Remember, Occupy Unmasked came out about a year before three self-described queer black women started Black Lives Matter in July 2013. In 2012, Anita MonCrief was mocked by American Conservative when she defended her use of the term  race war  in Occupy Unmasked by saying:But seriously, that s why you have Barack Obama out there saying if he had a son, he would look like Trayvon Martin.   they want black people running around in hoodies protesting in the streets. That s what he s looking for.   He wants us divided, and he wants us to fight in the streets, so they can basically keep us down.MonCrief said this two years before the hoodie-wearing thugs burned down Ferguson, before they looted and set fire to Baltimore, before they shut down Sen. Bernie Sanders (I-VT)16% at NetRoots nation, and before they shut down Chicago s  Magnificent Mile  on the busiest shopping day of the year.Anita Moncrief is an amazing patriot who doesn t get enough credit for exposing the truth about the Left. Watch her shocking testimony of how she became a conservative warrior here:The assertion that Occupy Wall Street would morph into Black Lives Matter wasn t a lucky guess. MonCrief, Darby, and I are all former leftists with professional organizational experience. Anita was a whistleblower who worked for ACORN, Darby was a cofounder of Common Ground in New Orleans, and I did work for MoveOn.org and Brave New Films. Because we understand the tactics and the players, it was clear to us that the Occupy movement and its focus on class had failed to resonate with a large enough segment of the American people. We knew that the logical next step was to head back to the 1960s  playbook of trying to tear down America by creating as deep a racial rift as possible.With Barack Obama in the White House and Eric Holder running the Department of Justice, the stage was set for the next iteration of the Occupy Wall Street movement. Black Lives Matter was the new Occupy.We also saw that community organizers were working on developing a new movement based on young black people in the wake of George Zimmerman s not guilty verdict in the Trayvon Martin shooting case. As I wrote at Breitbart News in July 2013, the takeover of the Florida statehouse by the group Dream Defenders was a  magnet for young people. The long-term goal is straightforward and explicit: the 2014 vote. Once in the Capitol, the Dream Defenders are giving the enthusiastic participants organizer training, right in the governor s office. With two generations of educators, media, and legal experts all schooled in New Left political correctness by America s leading universities, the Black Lives Matter movement has been essentially immune to criticism. The result has left universities, businesses, and police departments defenseless   intellectually and physically   against Black Lives Matter.There s been a practical cost as well. We ve seen businesses burned to the ground in Ferguson and Baltimore. We ve seen other businesses shut down at the Mall of America and on Chicago s  Magnificent Mile.  We ve seen the murder rate spike in cities across the country as a result of the  Ferguson Effect  that has caused police officers to pull back from enforcing the law in the face of unrelenting hostility and scrutiny.We ve seen universities from coast-to-coast bullied into staff firings and policy changes that were meant to only aid black students. These college uprisings have been accompanied by a fierce hatred of free speech; and when combined with the bold aggressiveness of multicultural and feminist Social Justice Warriors, they ve created an educational environment that is openly hostile to white students and faculty.With the next presidential election only 11 months away, conservatives and Republicans would be making a huge mistake to ignore the Black Lives Matter movement.At the close of 2015, the pot is getting ready to boil over. The decision not to prosecute Cleveland police officers in the shooting death of 12-year-old Tamir Rice, the ongoing anger in Minneapolis over the death of Jamar Clark, and two recent Chicago police shootings all create an atmosphere where even angier protests are in the works.Already, Chicago Mayor Rahm Emanuel and his Democrat machine regard Black Lives Matter activists as an existential threat.The engine that drives the anger is the mainstream media, which has done nothing to seriously vet the Black Lives Matter movement. Much of the anger is caused by the inaccurate reporting that consistently vilifies the police and leaves out key details about the shooting victims. This has led to fables such as  Hands Up, Don t Shoot,  which have continued to be amplified and repeated by Black Lives Matter protesters long after they have been debunked.In fact, one of the key characteristics of the Black Lives Matter movement and the mainstream media s reporting on it is a naked antipathy for facts. Both in real life and on social media like Twitter, leading Black Lives Matter activists are known for shutting down the speech of dissenting opinions and literally blocking anyone who disagrees with them.The result has been a hermetically sealed activist movement that is angry and ignorant, with a hairtrigger temper and a long list of grievances that have no factual basis. Worse, their set of crazed demands have been granted time and again by officials who are too scared to speak out for fear of being branded racists.Like spoiled children, none of this appeasement has done anything to quell the protesters  fury. Every time that politicians or university administrators have given into the outrageous, entitled Black Lives Matter mob, they ve learned that feeding that monster has only given it more power to make more demands.In the face of all this feckless kowtowing, no wonder the blunt and in-your-face style of billionaire Donald Trump has hit home for so many Americans. Trump   like Ronald Reagan in the 1960s   seems to be one of the few people in public life willing to tell Black Lives Matter protesters to sit down, shut up, and stop taking the loser road of self-victimization.This is one of the reasons that Donald Trump, more than any other political candidate on the scene right now, has incurred so much of the wrath and anger of Black Lives Matter. They are keenly aware that he simply will not play their game. The other current frontrunner for the Republican nomination is Texas Sen. Ted Cruz (R-TX)97% , who has already demonstrated that he is no cupcake either. Should either Cruz or Trump be the nominee, expect Black Lives Matter s army to take to the streets and try to shut them down at every opportunity.For that reason, the current political season is set to be even more divisive than either of the last two election cycles, which had already set a very high bar for vitriol.As the newest incarnation of the activist Left, Black Lives Matter will not back down or rest until it is either stopped by somone gutsy enough to call them out or until it gets what it wants: a bloody revolution leading to a socialist/anarchist America.The one thing the left has not counted on, however, is a dogged, active conservative media culture that can bring real information straight to the American people without being filtered by Black Lives Matter s journalism school comrades. We re not about to let Black Lives Matter or any leftist revolutionary movement destroy America without making sure they re fully revealed for what they are. Via: Breitbart News",1
ARIZONA STATE UNIV DOUBLES TUITION… CLAIMS IT NEEDS MORE STATE FUNDS…Finds $500K To Donate To Clinton “Slush Fund”,"But what about that whole unfair  student debt  thing that Hillary and Bill are so concerned about?While Arizona State University has almost doubled its tuition over the past 10 years amid claims that it needs more state money, the school somehow had the funds to give half a million dollars to the Clinton Foundation.According to The Arizona Republic, the public university paid $500,000 to the Clinton Foundation to host the former president-Bill Clinton; former-Secretary of State Hillary Clinton; and their daughter, Chelsea, during a Clinton Global Initiative University (CGI U) event in 2014. Former Secretary of State Hillary Clinton, Bill s wife, is the current front-runner for the Democratic nomination for the 2016 presidential race.Mark Johnson, an ASU spokesman, told The Republic that the university was a payment for the event not a contribution to the Clintons. ASU played host to the CGI University in March 2014, which featured former President Bill Clinton and former secretary of State Hillary Clinton in a program aimed at bringing together college students to find practical, innovative solutions to global challenges,  Johnson told the newspaper.  The report you cited reflects the fact that the university co-invested in this educational and promotional opportunity, which was co-produced for our students, and for students from around the world. No state funds were used for this purpose. The Republic also reported that while the university has lobbied the State Department, university officials claim the lobbying occurred after Hillary stepped down from the position.The CGI U website also boasts that more than 1,100 students attended the event to raise $60,000 and participate in a  Day of Action  in the community. Student attendees had the opportunity to attend plenary sessions, working sessions, and other special events covering topics across CGI U s five focus areas and allowing them to network with their peers, build skills, and identify potential partnerships,  the website for the event states.  Youth organizations, topic experts, and celebrities joined students at the CGI U meeting to help them gain the skills and knowledge needed to take action on their commitments. Earlier this month Arizona s Board of Regents voted to approve tuition increases for both undergraduate and graduate students at ASU, the University of Arizona, and Northern Arizona University. Arizona Gov. Doug Ducey (R) also recently approved a budget that cut more than $100 million from public universities, The Arizona State Press reported. In this regard ASU seems to hold themselves accountable to their own pet projects, as opposed to ASU students,  Richard Moorehead, a senior history major at ASU, told Campus Reform.  The money they wasted on the Clinton Foundation event could have been used for scholarships and genuine education. I realize bringing high-profile speakers can raise the profile of the university, but no speaker s time is worth $500,000, especially if that money is funneled into a presidential campaign,  Moorhead said. He did not attend the CGI U event.Ryan Hartwig, a recent ASU graduate, told Campus Reform that the $500,000 was  way too much for any celebrity or politician. It really makes me question what ASU does with their money, while they continue to complain about state budget cuts,  Hartwig said.The Washington Free Beacon reported that ASU has said it did not use state funds to pay the Clintons, but the university has not disclosed where the money actually came from.Sen. John McCain (R-Ariz.) participated in the event last year but told The Republic that had he known the price tag, it wouldn t have been worth it. Frankly, if I had known that that was the situation, that they were being paid $500,000, I would have spoken up at the time that I thought it was outrageous,  McCain said.Via: Campus Reform ",1
 Sixty-Five Percent Of Young Hispanics See The GOP As ‘Hostile’,"According to polls conducted in November by CNN, NBC News and Gallup, 45 percent of Latino voters now say they see the GOP as  hostile. Compare that to responses from November 2012, when the same polling organizations found that 18 percent of polled Latinos held the same views.Over the past three years the number of Latino voters who say they view the Republican Party as  hostile  has more than doubled.Even more telling, more than three times as many young Latino voters have a negative view of the party today. The recent polls show that 65 percent of Latino voters, between the ages of 18 and 35, now see the Republican Party as  hostile  toward them.This is bad news for the Republican Party, which cannot win the general election without Latino voters.According to GOP election strategists, in order to win the White House in 2016, republicans need at least 45 percent of the Latino vote.Republican party strategist Whit Ayres broke it down nicely, in March of last year. As Ayres points out here:Clearly that s not going to happen when the party frontrunner is Donald Trump, a man whose entire platform is built on racist hate and religious bigotry.While it s tempting to single out Trump as the  culprit  behind the numbers, if Trump is to blame for anything it s the fact that he s brought the party s long-existing racist undertones into the spotlight.The GOP has been using dog-whistle politics to rile up their racist, religiously bigoted base for decades. The Trump campaign is simply the predictable progression of the Southern Strategy.But as Addicting Info explains here and here, in catering to race hated and right-wing religious extremists, republicans have created a no-win situation.The party has built a base that only responds to dog-whistles. That means that the only way to motivate regular GOP voters is by scapegoating immigrants, minorities and people who do not subscribe to the doctrine of right-wing Christian fanaticism.At the same time, every time republican candidates spew the kind of racist, anti-immigrant rhetoric that appeals to their base, they further alienate voters outside of their base.How do you bring new people into a political party that is united by the idea of keeping other people out?You don t.Demographically speaking, however, there just aren t enough angry, bigoted white people left in America to keep the Republican Party going. For these reasons (and many others) the republican party is on its way to oblivion, which is exactly where it belongs.Featured image  from Wikipedia, public domain ",1
 Trump Attacks Mark Cuban In Bizarre Tweet That Everyone Is Humiliating Him For Right Now,"Donald Trump made two claims about Mark Cuban that prove just how delusional and narcissistic he is.Apparently, Trump woke up this morning and saw the Dallas Mavericks owner on television and decided that deriding him on Twitter was more important than doing his current job.Trump claimed that Cuban was a  big-time  backer of his and that Cuban isn t smart enough to ever be president like him.I know Mark Cuban well. He backed me big-time but I wasn t interested in taking all of his calls.He s not smart enough to run for president!  Donald J. Trump (@realDonaldTrump) February 12, 2017First of all, Mark Cuban backed Hillary Clinton during the 2016 Election and repeatedly slammed Trump s business acumen and personality. Last time I checked,  big-time  backers don t support the other candidate and go on television to destroy you every week.Second, Mark Cuban is a more successful businessman than Donald Trump is and his vocabulary is higher than the fifth grade vocabulary Trump possesses.As usual, Twitter users were quick to humiliate Trump for his childish behavior.Wtf @realDonaldTrump? This is seriously the type of thing you re talking about? Not the fact that North Korea just tested another missile?  David G. McAfee (@DavidGMcAfee) February 12, 2017. @realDonaldTrump What the fuck are you even talking about, man?  Cody Johnston (@drmistercody) February 12, 2017. @realDonaldTrump As President, your direct communication with the American people heavily features you waking up and yelling at the TV.  Cody Johnston (@drmistercody) February 12, 2017@realDonaldTrump Not smart enough? Dude you have like an 18 word vocabulary.  Mikel Jollett (@Mikel_Jollett) February 12, 2017.@realDonaldTrump You re so smart you had to ask about our deal with Russia while you were on the phone with Russia.  Nick Jack Pappas (@Pappiness) February 12, 2017.@realDonaldTrump This election disproved any intelligence requirement.  Jordan Uhl (@JordanUhl) February 12, 2017What s funny here is Trump, who is only wealthy because of his dad, is bashing @mcuban who is entirely self-made. Sad!  Jordan Uhl (@JordanUhl) February 12, 2017@realDonaldTrump but  pic.twitter.com/szpjJ8QRyb  Erick Fernandez (@ErickFernandez) February 12, 2017@realDonaldTrump but . pic.twitter.com/8C23Ve4cW3  Erick Fernandez (@ErickFernandez) February 12, 2017.@realDonaldTrump So you have time to tweet about Mark Cuban but still have yet to comment on the Quebec mosque shooting?  Al x Young  (@AlexYoung) February 12, 2017@realDonaldTrump Would you PLEASE put your tiny little hands back in your pockets and give your Android to the nearest respectable grownup?  Shaf Patel (@ShafPatel) February 12, 2017.@realDonaldTrump I know it s hard for you, but a President doesn t obsess over which billionaire TV personality insulted him that day.  Bess Kalb (@bessbell) February 12, 2017Donald Trump seriously needs to re-examine his priorities. Because acting like a petulant child is not making our country look good.Featured image via YouTube",1
" Racist Attacker Accuses Sikh Family Of Terrorism, Holds Them At Knife Point","On July 9, a 28-year-old Washington man broke into the home of Sikh/Hindu family, holding them at knife point.Preet Moudgil manages the Kettle Falls Inn, located in Kettle Falls, Washington. He and his family, including his parents and three-year-old son, also live on the premises.According to the Spokesman-Review, Moudgil was working the desk at the motel when Kilgore first approached him. He made several racist comments during the encounter, and asked him if he  knew about Guantanamo Bay. Later Kilgore attempted to break down the door that separates Moudgil s apartment from the motel office, but was unsuccessful. He then tried to enter through a second door, located on the first floor. Moudgil locked all the doors and windows to the apartment. Kilgore managed to get inside through a sliding glass door, which he reached by going to the roof of the motel.Once inside the apartment, Kilgore began threatening the family at knife-point. He said  I m going to cut you up because you are a terrorist,  Moudgil told the Spokesman-Review.  All he saw was brown skin. Kilgore shoved Moudgil s elderly father, turning the knife on him. He told the family,  I was trained to kill people like you. Moudgil s father eventually managed to escape the apartment. His mother fled through a back entrance as well, taking the three-year-old child with her.According to the Spokesman-Review, a neighbor finally managed to subdue the man, wrestling the knife away from him before he was able to seriously injure someone.Kilgore was arrested and is facing two counts of second-degree assault, one count of burglary and one count of malicious mischief. Additional charges may be added in the future. He is currently being held on $100,000 bond.Moudgil says that he has lived in the Kettle Falls community for years.  This community is very small. Everybody knows everybody,  he told the Spokesman-Review. Yet he says that he has never heard anything like this happening in the community before.The rise of racist, right-wing hatemongers like Donald Trump, who spew anti-Muslim ignorance and bigotry on a national platform, is undoubtedly linked to the growing number of anti-Muslim hate crimes in the U.S.As The New York Times reported here, there has been a dramatic increase in the number of attacks against members of the Muslim community over the past 10 months.As long as people like Donald Trump are allowed to spew their hateful, racist views on a national stage, the situation will only continue to get worse.Image credt: Viktoria-Lyn Deviant Art CC 3.0 ",1
#HAMILTON Star Makes Jokes On Twitter About “Black Dudes” Taking Sexual Advantage of Drunk “White Chicks”,"When not lecturing the Trump Administration form his bully pulpit, Hamilton star Brandon Victor Dixon is advocating rape, recently unearthed Tweets reveal. St. Patty s day weekend is like Christmas for black dudes who like white chicks. Happy holidays boys. @reesewaters #seasonsgreetings. St. Patty's day weekend is like Christmas for black dudes who like white chicks. Happy holidays boys. @reesewaters#seasonsgreetings  Brandon Victor Dixon (@BrandonVDixon) March 17, 2012Here s how one Twitter user responded after Mike Cernovich uncovered Dixon s vile tweet (above):https://twitter.com/JenThePatriot/status/800442947359543296Via: Danger and PlayDixon retweeted this vile tweet in July, 2013 about turning a  white, married, suburban housewife & mother into a  jump off  by a racist actor friend J Lee:What did they mean by this? pic.twitter.com/1Ehb2qHcqy  Mike Cernovich   (@Cernovich) November 20, 2016",1
TAKE THIS SHORT QUIZ: Which Radical Said It? We Guarantee The Answers Will Surprise You…," Here are six trivia questions to see how much history you really know. The answers are very revealing. If you don t know the answer, make your best guess. Answer all of the questions (no cheating) before looking at the answers.Hint: The answers to these questions aren t all Barack Obama.1)  We re going to take things away from you on behalf of the common good. A. Karl MarxB. Adolph HitlerC. Joseph StalinD. Barack ObamaE. None of the above2)  It s time for a new beginning, for an end to government of the few, by the few, and for the few  And to replace it with shared responsibility, for shared prosperity. A. LeninB. MussoliniC. Joseph StalinD. Barack ObamaE. None of the above3)  (We)  can t just let business as usual go on, and that means something has to be taken away from some people. A. Nikita KhrushevB. Joseph GoebbelsC. Boris YeltsinD. Barack ObamaE. None of the above4)  We have to build a political consensus and that requires people to give up a little bit of their own  in order to create this common ground. A. Mao Tse DungB. Hugo ChavezC. Kim Jong IID. Barack ObamaE. None of the above5)  I certainly think the free-market has failed. A. Karl MarxB. LeninC. MolotovD. Barack ObamaE. None of the above6)  I think it s time to send a clear message to what has become the most profitable sector in (the) entire economy that they are being watched. A. PinochetB. MilosevicC. Saddam HusseinD. Barack ObamaE. None of the above(1) E. None of the above. Statement was made by Hillary Clinton 6/29/2004(2) E. None of the above. Statement was made by Hillary Clinton 5/29/2007(3) E. None of the above. Statement was made by Hillary Clinton 6/4/2007(4) E. None of the above. Statement was made by Hillary Clinton 6/4/2007(5) E. None of the above. Statement was made by Hillary Clinton 6/4/2007(6) E. None of the above. Statement was made by Hillary Clinton 9/2/2005",1
 NEVER TRUMP: Ice Cream Shop Kicks Out Muslim-Hating Bigots (VIDEO),"An ice cream parlor in Orange County, California, turned down money from a  Muslim-bashing customer after he insulted a Muslim woman in the store who was sitting and enjoying ice cream.22-year-old Nura Takkish was the target of the bigot.Takkish was sitting with two of her friends at Andrew s Ice Cream and Dessert in Orange County, California, on Monday, May 23, when they noticed a commotion at the counter. A customer was being asked to leave for saying  racist and nasty things,  the shop s baker, Jessie Noah, later told The Huffington Post.Takkish s friend Malaak Ammari started to record the incident on her phone.When you just trying to eat your ice cream but trump supporters won't let you live pic.twitter.com/rW3MI8a2pn  palestina (@itsdatnunu) May 24, 2016The baker handed the bigot back his $3, telling him,  You can give somebody else your business.  Cindy Ramsay, wife of the shop owner added,  If you can t be nice, we don t want you. On his way out, the defeated bigot yelled again:As he heads to the door, the man points a finger at the two women in headscarves and says,  I don t want them near my country. Too bad, we re here,  Ammari replies, still filming.  Sucks for you. Sucks for me? You ll see what happens,  the man replies threateningly. Then Noah walks to the door and closes it as the man walks away.Donald Trump has made anti-Muslim bigotry one of the centerpieces of his presidential campaign. He issued a call for Muslims to be barred from travel to the United States, and repeated the message in a press release and a live media event.The attacks on Muslims have been repudiated by civil rights organizations and leading politicians like President Obama, Hillary Clinton, and Bernie Sanders. Even some Republicans have said Trump s attack on Muslims is beyond the pale and not reflective of American values.The Trump campaign, after winning the nomination, has attempted to step away from some of those comments. But his most ardent supporters, and a majority of Republicans according to multiple polls, share the same view of Muslims as the bigot in the ice cream parlor.Featured image via Twitter",1
TRUMP COMES OUT SWINGING: Watch Announcement On Taxes And Regulation…This Leader Means Business! [Video], ,1
 Did Trump Just Accidentally Admit He Deleted Recordings Of Comey Conversations?,"Conservatives love to tell us that Donald Trump speaks his mind and always tells the truth despite a mountain of evidence against the latter point, so when he told us he recorded his conversations with former FBI Director James Comey it s perfectly reasonable for us to take him at his word.Shortly after he fired Comey for requesting additional resources for the investigation into the Trump administration s collusion with Russia, Trump threatened to release the recordings in an effort to intimidate a witness   recordings whose existence would be just the latest in a long history of Trump secretly recording conversations.James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!  Donald J. Trump (@realDonaldTrump) May 12, 2017Apparently, The Donald has done some reading on Richard Nixon, because he seems to have destroyed the tapes he made. After Comey said  Lordy, I hope there are tapes  (the one time in history  Lordy  has sounded so badass), Trump realized that his plan wasn t quite working out so well   so he now claims that they never existed. With all of the recently reported electronic surveillance, intercepts, unmasking and illegal leaking of information, I have no idea whether there are  tapes  or recordings of my conversations with James Comey, but I did not make, and do not have, any such recordings,  Trump tweeted on Thursday.With all of the recently reported electronic surveillance, intercepts, unmasking and illegal leaking of information, I have no idea  Donald J. Trump (@realDonaldTrump) June 22, 2017 whether there are ""tapes"" or recordings of my conversations with James Comey, but I did not make, and do not have, any such recordings.  Donald J. Trump (@realDonaldTrump) June 22, 2017Either Trump is lying about making the recordings or he is lying about them not existing .or he destroyed them. That final option, given Trump s history, is the one that likely occurred.Naturally, the American people once again proved that they are not as stupid as Trump thinks they are:WHAT THE FUCK, TRUMP? ????????? You lying sack of shit.  Holly O Reilly (@AynRandPaulRyan) June 22, 2017Why should we believe anything you say when you just banned the press from covering the daily briefing?  Alex Mayberry (@Alex_Mayberry) June 22, 2017you re such a gross failure and a slob. you can t even lie right. and look at this shit pic.twitter.com/TjKhwT0cEC  Livia Scott ? (@LiviaLove) June 22, 2017You realize this makes your  better hope there are no tapes  statement evidence of attempted witness intimidation  Ray Yelle (@ryelle62) June 22, 2017You lie about everything. James Comey was right, he was afraid of you lying about convos. James Comey 100 Trump 0!  Jennie (@Jennie2004) June 22, 2017Keep tweeting. Robert Mueller will gladly use your tweets as evidence.  Mario Velarde (@MarioV7) June 22, 2017HahahahahahahahahahahahahahahahahahahahahahahahahahahahahaYOU REFUCKEDhahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha  Blankety Blank (@agentZillah) June 22, 2017Trying to distract the country from your sad healthcare bill. You are becoming quite predictable Mr. President. #TrumpFearsPressY  MJ (@TheMagsterBarks) June 22, 2017Notice he didn t say he that he didn t know about them or listen to them  Bens The Best (@bens_the_best) June 22, 2017Translation   I reviewed tapes with my lawyer and they don t support my point   so all tapes and equipment have been destroyed.  Brief Truth (@TheBriefTruth) June 22, 2017HE made/had no tapes. This, once again is was advised by his lawyers to shield him if and when they ever do surface proving Comey right  TheUnsilentMAJORITY (@The_UnSilent_) June 22, 2017Does this mean that there really aren t tapes, or that there ARE tapes and you don t want to release them because the confirm Comey s story?  Dave Branson (@popsiclemud) June 22, 2017Here s a disturbing, but likely scenario: There were tapes. And their existence just created problems Trump can t handle.Featured image via screengrab/Getty Images",1
